Nos. in Cat.,New Nos.,RA-H:M:S,RA-D:M:S,RA-Decimal,Dec-D:M:S,Dec-Decimal
31,1,0:29:46,7:26:32,7.4422,39:09:32:N,39.1589
32,2,0:29:50,7:27:32,7.4589,38:45:34:N,38.7594
33,3,1:40:37,20:09:17,20.1547,29:32:25:N,29.5403
34,4,2:27:27,36:51:37,36.8603,41:39:32:N,41.6589
45,5,3:33:48,53:27:04,53.4511,23:22:41:N,23.3781
38,6,5:12:41,78:10:12,78.17,36:11:51:N,36.1975
1,7,5:20:02,80:00:33,80.0092,21:45:27:N,21.7575
36,8,5:20:47,80:11:42,80.195,34:08:06:N,34.135
42,9,5:23:59,80:59:40,80.9944,5:34:06:S,-5.5683
43,10,5:24:12,81:03:00,81.05,5:26:37:S,-5.4436
37,11,5:37:01,84:15:12,84.2533,32:11:51:N,32.1975
35,12,5:54:41,88:40:09,88.6692,24:33:30:N,24.5583
41,13,6:35:53,98:58:12,98.97,20:33:00:S,-20.55
50,14,6:51:05,102:57:28,102.9578,7:57:42:S,-7.9617
46,15,7:31:11,112:47:42,112.795,14:19:07:S,-14.3186
47,16,7:44:16,116:03:58,116.0661,14:50:08:S,-14.8356
48,17,8:02:24,120:36:00,120.6,1:16:42:S,-1.2783
67,18,8:36:28,129:06:57,129.1158,12:36:38:N,12.6106
65,19,11:07:24,166:50:54,166.8483,14:16:08:N,14.2689
66,20,11:08:47,167:11:39,167.1942,14:12:21:N,14.2058
40,21,12:11:02,182:45:30,182.7583,59:23:50:N,59.3972
49,22,12:17:48,184:26:58,184.4494,9:16:09:N,9.2692
58,23,12:26:03,186:37:23,186.6231,13:02:42:N,13.042
68,24,12:27:38,186:54:33,186.9092,25:30:20:S,-25.5056
59,25,12:30:47,187:41:38,187.6939,12:52:36:N,12.8767
60,26,12:32:28,188:06:53,188.1147,12:46:02:N,12.7672
64,27,12:45:51,191:27:38,191.4606,22:52:31:N,22.8753
63,28,13:04:22,196:05:30,196.0917,43:12:37:N,43.2103
51,29,13:20:23,200:05:48,200.0967,48:24:24:N,48.4067
3,30,13:21:25,202:51:19,202.8553,29:32:57:N,29.5492
5,31,15:06:36,226:39:04,226.6511,2:57:16:N,2.9544
44,32,8:27:22,126:50:30,126.8417,20:31:38:N,20.5272
4,33,16:09:08,242:16:56,242.2822,25:55:40:S,-25.9278
13,34,16:33:15,248:16:56,248.2822,1:30:28:S,-1.5078
12,35,16:34:53,248:43:10,248.7194,3:5:45:S,-3.0958
10,36,16:44:48,251:12:06,251.2017,34:40:34:S,-34.6761
62,37,16:47:14,251:48:24,251.8067,18:45:55:S,-18.7653
19,38,16:48:07,252:01:45,252.0292,22:59:10:S,-22.9861
9,39,17:05:22,256:20:36,256.3433,24:21:10:S,-24.3528
6,40,17:14:42,261:10:39,261.1775,22:59:10:S,-22.9861
14,41,17:25:14,261:18:29,261.3081,24:21:10:S,-24.3528
7,42,17:38:02,264:30:24,264.5067,22:59:10:S,-22.9861
23,43,17:42:51,265:42:50,264.7139,24:21:10:S,-24.3528
20,44,17:48:16,267:04:05,267.0681,22:31:25:S,-22.5236
8,45,17:49:58,267:29:30,267.4917,24:21:10:S,-24.3528
21,46,17:50:07,267:31:35,267.5264,22:31:25:S,-22.5236
24,47,18:01:44,270:26:00,270.4333,18:26:00:S,-18.4333
16,48,18:05:00,271:15:03,271.2508,13:51:44:S,-13.8622
18,49,18:06:16,271:34:03,271.5675,17:13:14:S,-17.2206
17,50,18:07:03,271:45:48,271.7633,16:14:44:S,-16.2456
28,51,18:09:58,272:29:30,272.4917,24:57:11:S,-24.9531
69,52,18:16:47,274:11:46,274.1961,32:31:45:S,-35.5292
25,53,18:17:40,274:25:00,274.4167,19:05:00:S,-19.0833
22,54,18:21:55,275:28:39,275.4775,24:57:11:S,-24.9531
70,55,18:28:53,277:13:16,277.2211,32:31:45:S,-32.5292
26,56,18.32:22,278:05:25,278.0903,9:38:14:S,-9.6372
11,57,18:38:23,279:35:43,279.5953,6:31:01:S,-6.5169
54,58,18:40:52,280:12:55,280.2153,30:44:01:S,-30.7336
57,59,18:45:21,281:20:08,281.3356,32:46:03:N,32.7675
61,60,12:10:44,182:42:05,182.7041,5:42:05:N,5.7014
56,61,19:08:00,287:00:01,284.0003,29:48:14:N,29.8039
55,62,19:26:02,291:30:26,291.5072,31:26:27:S,-31.4408
53,63,13:02:02,195:30:26,195.5072,19:22:44:N,19.3789
27,64,19:49:27,297:21:41,297.3614,22:04:00:N,22.0667
29,65,20:15:38,303:54:29,303.9081,37:11:57:N,37.1992
15,66,21:18:41,319:40:19,319.6719,10:40:03:N,10.6675
2,67,21:21:08,320:17:00,320.2833,1:47:00:S,-1.7833
39,68,21:23:49,320:57:10,320.9528,47:25:00:N,47.4167
30,69,21:27:05,321:46:18,321.7717,24:19:04:S,-24.3178
52,70,23:14:38,348:39:27,348.6575,60:22:12:N,60.37
